,runs_1,runs_2,runs_3,runs_4,runs_5,runs_6,runs_7,runs_8,runs_9,runs_10,runs_11,runs_12,runs_13,runs_14,runs_15,runs_16,runs_17,runs_18,runs_19,runs_20,runs_21,runs_22,runs_23,runs_24
length_1,1.0,,,,,,,,,,,,,,,,,,,,,,,
length_2,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,
length_3,1.25,0.5,0.25,,,,,,,,,,,,,,,,,,,,,
length_4,1.5,0.625,0.25,0.125,,,,,,,,,,,,,,,,,,,,
length_5,1.75,0.75,0.3125,0.125,0.0625,,,,,,,,,,,,,,,,,,,
length_6,2.0,0.875,0.375,0.15625,0.0625,0.03125,,,,,,,,,,,,,,,,,,
length_7,2.25,1.0,0.4375,0.1875,0.078125,0.03125,0.015625,,,,,,,,,,,,,,,,,
length_8,2.5,1.125,0.5,0.21875,0.09375,0.0390625,0.015625,0.0078125,,,,,,,,,,,,,,,,
length_9,2.75,1.25,0.5625,0.25,0.109375,0.046875,0.01953125,0.0078125,0.00390625,,,,,,,,,,,,,,,
length_10,3.0,1.375,0.625,0.28125,0.125,0.0546875,0.0234375,0.009765625,0.00390625,0.001953125,,,,,,,,,,,,,,
length_11,3.25,1.5,0.6875,0.3125,0.140625,0.0625,0.02734375,0.01171875,0.0048828125,0.001953125,0.0009765625,,,,,,,,,,,,,
length_12,3.5,1.625,0.75,0.34375,0.15625,0.0703125,0.03125,0.013671875,0.005859375,0.00244140625,0.0009765625,0.00048828125,,,,,,,,,,,,
length_13,3.75,1.75,0.8125,0.375,0.171875,0.078125,0.03515625,0.015625,0.0068359375,0.0029296875,0.001220703125,0.00048828125,0.000244140625,,,,,,,,,,,
length_14,4.0,1.875,0.875,0.40625,0.1875,0.0859375,0.0390625,0.017578125,0.0078125,0.00341796875,0.00146484375,0.0006103515625,0.000244140625,0.0001220703125,,,,,,,,,,
length_15,4.25,2.0,0.9375,0.4375,0.203125,0.09375,0.04296875,0.01953125,0.0087890625,0.00390625,0.001708984375,0.000732421875,0.00030517578125,0.0001220703125,6.103515625e-05,,,,,,,,,
length_16,4.5,2.125,1.0,0.46875,0.21875,0.1015625,0.046875,0.021484375,0.009765625,0.00439453125,0.001953125,0.0008544921875,0.0003662109375,0.000152587890625,6.103515625e-05,3.0517578125e-05,,,,,,,,
length_17,4.75,2.25,1.0625,0.5,0.234375,0.109375,0.05078125,0.0234375,0.0107421875,0.0048828125,0.002197265625,0.0009765625,0.00042724609375,0.00018310546875,7.62939453125e-05,3.0517578125e-05,1.52587890625e-05,,,,,,,
length_18,5.0,2.375,1.125,0.53125,0.25,0.1171875,0.0546875,0.025390625,0.01171875,0.00537109375,0.00244140625,0.0010986328125,0.00048828125,0.000213623046875,9.1552734375e-05,3.814697265625e-05,1.52587890625e-05,7.62939453125e-06,,,,,,
length_19,5.25,2.5,1.1875,0.5625,0.265625,0.125,0.05859375,0.02734375,0.0126953125,0.005859375,0.002685546875,0.001220703125,0.00054931640625,0.000244140625,0.0001068115234375,4.57763671875e-05,1.9073486328125e-05,7.62939453125e-06,3.814697265625e-06,,,,,
length_20,5.5,2.625,1.25,0.59375,0.28125,0.1328125,0.0625,0.029296875,0.013671875,0.00634765625,0.0029296875,0.0013427734375,0.0006103515625,0.000274658203125,0.0001220703125,5.340576171875e-05,2.288818359375e-05,9.5367431640625e-06,3.814697265625e-06,1.9073486328125e-06,,,,
length_21,5.75,2.75,1.3125,0.625,0.296875,0.140625,0.06640625,0.03125,0.0146484375,0.0068359375,0.003173828125,0.00146484375,0.00067138671875,0.00030517578125,0.0001373291015625,6.103515625e-05,2.6702880859375e-05,1.1444091796875e-05,4.76837158203125e-06,1.9073486328125e-06,9.5367431640625e-07,,,
length_22,6.0,2.875,1.375,0.65625,0.3125,0.1484375,0.0703125,0.033203125,0.015625,0.00732421875,0.00341796875,0.0015869140625,0.000732421875,0.000335693359375,0.000152587890625,6.866455078125e-05,3.0517578125e-05,1.33514404296875e-05,5.7220458984375e-06,2.384185791015625e-06,9.5367431640625e-07,4.76837158203125e-07,,
length_23,6.25,3.0,1.4375,0.6875,0.328125,0.15625,0.07421875,0.03515625,0.0166015625,0.0078125,0.003662109375,0.001708984375,0.00079345703125,0.0003662109375,0.0001678466796875,7.62939453125e-05,3.4332275390625e-05,1.52587890625e-05,6.67572021484375e-06,2.86102294921875e-06,1.1920928955078125e-06,4.76837158203125e-07,2.384185791015625e-07,
length_24,6.5,3.125,1.5,0.71875,0.34375,0.1640625,0.078125,0.037109375,0.017578125,0.00830078125,0.00390625,0.0018310546875,0.0008544921875,0.000396728515625,0.00018310546875,8.392333984375e-05,3.814697265625e-05,1.71661376953125e-05,7.62939453125e-06,3.337860107421875e-06,1.430511474609375e-06,5.960464477539062e-07,2.384185791015625e-07,1.1920928955078125e-07
