key,runs_1,runs_2,runs_3,runs_4,runs_5,runs_6
000000,0,0,0,0,0,1
000001,1,0,0,0,1,0
000010,2,0,0,1,0,0
000011,0,1,0,1,0,0
000100,1,1,1,0,0,0
000101,3,0,1,0,0,0
000110,1,1,1,0,0,0
000111,0,0,2,0,0,0
001000,1,1,1,0,0,0
001001,2,2,0,0,0,0
001010,4,1,0,0,0,0
001011,2,2,0,0,0,0
001100,0,3,0,0,0,0
001101,2,2,0,0,0,0
001110,1,1,1,0,0,0
001111,0,1,0,1,0,0
010000,2,0,0,1,0,0
010001,3,0,1,0,0,0
010010,4,1,0,0,0,0
010011,2,2,0,0,0,0
010100,4,1,0,0,0,0
010101,6,0,0,0,0,0
010110,4,1,0,0,0,0
010111,3,0,1,0,0,0
011000,1,1,1,0,0,0
011001,2,2,0,0,0,0
011010,4,1,0,0,0,0
011011,2,2,0,0,0,0
011100,1,1,1,0,0,0
011101,3,0,1,0,0,0
011110,2,0,0,1,0,0
011111,1,0,0,0,1,0
100000,1,0,0,0,1,0
100001,2,0,0,1,0,0
100010,3,0,1,0,0,0
100011,1,1,1,0,0,0
100100,2,2,0,0,0,0
100101,4,1,0,0,0,0
100110,2,2,0,0,0,0
100111,1,1,1,0,0,0
101000,3,0,1,0,0,0
101001,4,1,0,0,0,0
101010,6,0,0,0,0,0
101011,4,1,0,0,0,0
101100,2,2,0,0,0,0
101101,4,1,0,0,0,0
101110,3,0,1,0,0,0
101111,2,0,0,1,0,0
110000,0,1,0,1,0,0
110001,1,1,1,0,0,0
110010,2,2,0,0,0,0
110011,0,3,0,0,0,0
110100,2,2,0,0,0,0
110101,4,1,0,0,0,0
110110,2,2,0,0,0,0
110111,1,1,1,0,0,0
111000,0,0,2,0,0,0
111001,1,1,1,0,0,0
111010,3,0,1,0,0,0
111011,1,1,1,0,0,0
111100,0,1,0,1,0,0
111101,2,0,0,1,0,0
111110,1,0,0,0,1,0
111111,0,0,0,0,0,1
